,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
270,0.49,0.29,0.06,0.24,0.087,0.37,0.2,0.98,0.81,0.36,0.72,0.71
271,0.72,0.04,0.51,0.24,0.10400000000000001,0.04,0.07,0.99,0.79,0.56,0.67,0.71
272,0.68,0.17,0.58,0.24,0.071,0.23,0.22,0.99,0.77,0.43,0.67,0.57
273,0.52,0.41,0.2,0.13,0.076,0.13,0.12,0.99,0.79,0.34,0.63,0.57
274,0.46,0.36,0.18,0.44,0.08800000000000001,0.37,0.32,0.99,0.81,0.42,0.63,0.57
275,0.49,0.29,0.06,0.24,0.087,0.37,0.2,0.98,0.81,0.36,0.72,0.71
276,0.43,0.29,0.04,0.17,0.077,0.08,0.08,0.99,0.91,0.52,0.63,0.71
277,0.72,0.04,0.51,0.24,0.10400000000000001,0.04,0.07,0.99,0.79,0.56,0.67,0.71
278,0.64,0.14,0.45,0.4,0.073,0.06,0.04,0.99,0.77,0.46,0.84,1.0
279,0.55,0.19,0.32,0.35,0.087,0.13,0.15,0.99,0.81,0.42,0.7,0.86
280,0.71,0.1,0.44,0.21,0.071,0.07,0.06,0.99,0.74,0.46,0.62,0.71
281,0.48,0.1,0.68,0.21,0.358,0.06,0.02,0.99,0.78,0.63,0.66,0.86
282,0.47,0.27,0.12,0.17,0.067,0.15,0.18,0.98,0.81,0.29,0.61,0.57
283,0.55,0.19,0.32,0.35,0.087,0.13,0.15,0.99,0.81,0.42,0.7,0.86
284,0.62,0.32,0.07,0.2,0.102,0.44,0.24,0.99,0.79,0.38,0.65,0.57
285,0.62,0.32,0.07,0.2,0.102,0.44,0.24,0.99,0.79,0.38,0.65,0.57
286,0.75,0.23,0.55,0.11,0.073,0.34,0.16,0.99,0.73,0.42,0.69,0.71
287,0.46,0.19,0.12,0.17,0.092,0.39,0.18,0.98,0.81,0.38,0.69,0.71
288,0.54,0.27,0.09,0.14,0.091,0.27,0.16,0.99,0.8,0.48,0.71,0.86
289,0.73,0.21,0.53,0.19,0.105,0.45,0.33,0.99,0.76,0.55,0.61,0.57
290,0.54,0.27,0.09,0.14,0.091,0.27,0.16,0.99,0.8,0.48,0.71,0.86
291,0.69,0.05,0.48,0.11,0.34299999999999997,0.07,0.05,0.99,0.79,0.38,0.7,0.57
292,0.65,0.29,0.23,0.15,0.091,0.24,0.16,0.99,0.77,0.34,0.69,0.71
293,0.43,0.16,0.25,0.13,0.098,0.06,0.05,0.98,0.82,0.31,0.67,0.71
294,0.83,0.15,0.52,0.19,0.094,0.23,0.18,0.99,0.72,0.45,0.63,0.71
295,0.67,0.26,0.46,0.14,0.073,0.06,0.08,0.99,0.72,0.34,0.63,0.57
296,0.66,0.49,0.37,0.15,0.086,0.35,0.23,0.99,0.75,0.25,0.66,0.57
297,0.44,0.35,0.06,0.11,0.083,0.1,0.09,0.99,0.9,0.4,0.64,0.57
298,0.44,0.36,0.02,0.13,0.094,0.06,0.1,0.99,0.9,0.44,0.65,0.57
299,0.43,0.38,0.06,0.11,0.08,0.1,0.11,0.99,0.9,0.38,0.64,0.57
300,0.46,0.28,0.06,0.15,0.086,0.27,0.14,0.98,0.81,0.3,0.72,0.71
301,0.69,0.04,0.48,0.07,0.068,0.08,0.04,0.99,0.77,0.34,0.67,0.71
302,0.51,0.4,0.12,0.15,0.092,0.15,0.09,0.99,0.85,0.39,0.67,0.57
303,0.46,0.38,0.12,0.08,0.18600000000000003,0.06,0.06,0.98,0.82,0.27,0.63,0.57
304,0.52,0.36,0.6,0.11,0.11199999999999999,0.15,0.3,0.99,0.76,0.25,0.61,0.57
305,0.64,0.28,0.48,0.14,0.063,0.07,0.08,0.99,0.74,0.3,0.62,0.71
306,0.47,0.34,0.32,0.12,0.08199999999999999,0.08,0.18,0.98,0.81,0.25,0.63,0.57
307,0.64,0.2,0.42,0.13,0.213,0.07,0.04,0.99,0.76,0.32,0.63,0.71
308,0.64,0.21,0.44,0.13,0.214,0.06,0.03,0.99,0.76,0.33,0.63,0.71
309,0.46,0.12,0.38,0.09,0.062,0.11,0.09,0.98,0.82,0.26,0.63,0.71
310,0.64,0.28,0.48,0.14,0.063,0.07,0.08,0.99,0.74,0.3,0.62,0.71
311,0.49,0.28,0.24,0.11,0.07200000000000001,0.2,0.36,0.98,0.78,0.27,0.63,0.71
312,0.56,0.23,0.31,0.16,0.09300000000000001,0.25,0.33,0.99,0.8,0.33,0.63,0.71
313,0.53,0.24,0.3,0.17,0.076,0.41,0.46,0.99,0.79,0.26,0.63,0.57
314,0.46,0.16,0.29,0.15,0.087,0.35,0.24,0.98,0.82,0.36,0.74,0.57
315,0.44,0.16,0.29,0.14,0.096,0.27,0.18,0.98,0.83,0.34,0.74,0.71
316,0.6,0.3,0.23,0.2,0.102,0.51,0.31,0.99,0.79,0.34,0.67,0.57
317,0.6,0.45,0.12,0.17,0.08199999999999999,0.41,0.25,0.99,0.79,0.34,0.69,0.71
318,0.61,0.37,0.39,0.19,0.083,0.28,0.2,0.99,0.81,0.38,0.77,0.86
319,0.6,0.45,0.12,0.17,0.08199999999999999,0.41,0.25,0.99,0.79,0.34,0.69,0.71
320,0.61,0.37,0.39,0.19,0.083,0.28,0.2,0.99,0.81,0.38,0.77,0.86
321,0.58,0.34,0.26,0.2,0.09,0.34,0.29,0.99,0.77,0.32,0.65,0.57
322,0.48,0.34,0.05,0.13,0.079,0.07,0.05,0.99,0.79,0.33,0.62,0.57
323,0.64,0.32,0.42,0.16,0.09,0.48,0.24,0.99,0.79,0.38,0.63,0.71
324,0.62,0.25,0.2,0.7,0.071,0.17,0.16,0.99,0.75,0.37,0.61,0.71
325,0.62,0.25,0.2,0.7,0.071,0.17,0.16,0.99,0.75,0.37,0.61,0.71
326,0.73,0.28,0.66,0.22,0.121,0.07,0.04,0.99,0.72,0.4,0.77,0.86
327,0.64,0.22,0.5,0.27,0.107,0.06,0.04,0.99,0.79,0.46,0.77,0.57
328,0.84,0.1,0.62,0.15,0.08199999999999999,0.07,0.06,0.99,0.75,0.36,0.65,0.71
329,0.67,0.23,0.39,0.11,0.061,0.08,0.04,0.99,0.76,0.32,0.63,0.57
330,0.64,0.16,0.64,0.17,0.122,0.13,0.13,0.99,0.77,0.35,0.84,0.71
331,0.64,0.16,0.64,0.17,0.122,0.13,0.13,0.99,0.77,0.35,0.84,0.71
332,0.5,0.32,0.28,0.19,0.066,0.28,0.39,0.99,0.77,0.27,0.63,0.71
333,0.52,0.3,0.08,0.11,0.105,0.21,0.14,0.98,0.74,0.25,0.74,0.57
334,0.49,0.36,0.01,0.14,0.078,0.23,0.12,0.98,0.8,0.4,0.78,0.86
335,0.74,0.39,0.53,0.2,0.128,0.08,0.06,0.99,0.75,0.47,0.82,0.86
336,0.55,0.21,0.45,0.1,0.052000000000000005,0.07,0.05,0.98,0.81,0.38,0.84,0.71
337,0.48,0.21,0.32,0.16,0.08,0.39,0.19,0.99,0.79,0.34,0.69,0.57
338,0.78,0.25,0.58,0.17,0.10300000000000001,0.38,0.34,0.99,0.75,0.58,0.77,0.71
339,0.78,0.11,0.54,0.13,0.08199999999999999,0.15,0.09,0.99,0.74,0.82,0.65,0.86
340,0.76,0.15,0.5,0.13,0.066,0.13,0.06,0.99,0.74,0.7,0.61,0.71
341,0.66,0.21,0.48,0.15,0.065,0.06,0.05,0.99,0.76,0.49,0.76,0.71
342,0.68,0.18,0.47,0.09,0.11800000000000001,0.07,0.04,0.99,0.79,0.41,0.65,0.71
343,0.68,0.18,0.47,0.09,0.11800000000000001,0.07,0.04,0.99,0.79,0.41,0.65,0.71
344,0.74,0.31,0.5,0.15,0.08199999999999999,0.07,0.1,0.99,0.74,0.43,0.72,0.71
345,0.43,0.39,0.0,0.1,0.067,0.55,0.21,0.99,0.88,0.45,0.66,0.57
346,0.41,0.48,0.02,0.15,0.07200000000000001,0.23,0.11,0.98,0.87,0.5,0.82,0.86
347,0.87,0.25,0.67,0.17,0.09300000000000001,0.07,0.04,0.99,0.71,0.53,0.8,0.71
348,0.6,0.3,0.31,0.16,0.08900000000000001,0.2,0.15,0.99,0.74,0.53,0.67,0.71
349,0.57,0.46,0.0,0.15,0.09300000000000001,0.14,0.09,0.99,0.81,0.48,0.63,0.71
350,0.67,0.38,0.22,0.15,0.107,0.23,0.11,0.99,0.79,0.57,0.66,0.71
351,0.57,0.46,0.0,0.15,0.096,0.14,0.08,0.99,0.81,0.46,0.63,0.71
352,0.48,0.37,0.0,0.13,0.09,0.1,0.06,0.99,0.78,0.4,0.62,0.57
353,0.85,0.28,0.79,0.29,0.12,0.31,0.26,1.0,0.76,0.42,0.87,0.57
354,0.37,0.06,0.4,0.07,0.066,0.56,0.57,0.97,0.78,0.3,0.8,0.71
355,0.41,0.43,0.01,0.13,0.078,0.23,0.1,0.98,0.86,0.31,0.86,0.71
356,0.72,0.2,0.52,0.17,0.08,0.39,0.18,0.99,0.78,0.5,0.74,0.57
357,0.66,0.21,0.66,0.17,0.11599999999999999,0.15,0.09,0.98,0.77,0.41,0.78,0.86
358,0.74,0.21,0.66,0.18,0.109,0.13,0.07,0.99,0.75,0.48,0.69,0.86
359,0.79,0.18,0.66,0.15,0.08800000000000001,0.13,0.13,0.99,0.75,0.36,0.65,0.71
360,0.51,0.4,0.23,0.11,0.099,0.18,0.27,0.99,0.76,0.38,0.63,0.57
361,0.53,0.23,0.31,0.15,0.086,0.28,0.16,0.99,0.81,0.52,0.66,0.71
362,0.74,0.32,0.66,0.14,0.07200000000000001,0.07,0.12,0.99,0.72,0.28,0.67,0.57
363,0.78,0.23,0.63,0.11,0.071,0.07,0.04,0.99,0.7,0.49,0.68,0.57
364,0.8,0.34,0.66,0.36,0.083,0.08,0.14,1.0,0.72,0.4,0.67,0.86
365,0.62,0.21,0.5,0.2,0.107,0.08,0.06,0.99,0.78,0.53,0.79,0.71
366,0.8,0.34,0.66,0.36,0.083,0.08,0.14,1.0,0.72,0.4,0.67,0.86
367,0.65,0.31,0.61,0.15,0.076,0.14,0.07,0.99,0.75,0.37,0.6,0.57
368,0.64,0.15,0.52,0.16,0.159,0.2,0.25,0.99,0.76,0.34,0.63,0.57
369,0.58,0.1,0.53,0.13,0.07400000000000001,0.07,0.05,0.98,0.76,0.67,0.8,0.86
370,0.43,0.44,0.02,0.13,0.063,0.48,0.21,0.99,0.87,0.43,0.66,0.57
371,0.49,0.08,0.4,0.08,0.055999999999999994,0.14,0.08,0.98,0.8,0.49,0.58,0.71
372,0.57,0.11,0.48,0.09,0.067,0.35,0.15,0.98,0.8,0.61,0.71,0.71
373,0.46,0.29,0.22,0.12,0.106,0.15,0.24,0.98,0.72,0.33,0.61,0.57
374,0.88,0.2,0.63,0.23,0.08900000000000001,0.07,0.15,0.99,0.71,0.45,0.72,0.71
375,0.72,0.29,0.71,0.27,0.124,0.07,0.04,0.99,0.71,0.46,0.79,0.86
376,0.72,0.23,0.5,0.17,0.078,0.25,0.15,0.99,0.78,0.65,0.74,0.71
377,0.58,0.1,0.53,0.13,0.07400000000000001,0.07,0.05,0.98,0.76,0.67,0.8,0.86
378,0.71,0.35,0.66,0.39,0.08800000000000001,0.07,0.07,0.99,0.74,0.57,0.89,0.71
379,0.51,0.21,0.38,0.14,0.094,0.32,0.2,0.99,0.79,0.38,0.72,0.71
380,0.51,0.1,0.42,0.11,0.08,0.14,0.08,0.99,0.76,0.44,0.63,0.71
381,0.86,0.2,0.68,0.17,0.085,0.23,0.14,0.99,0.72,0.44,0.67,0.71
382,0.51,0.1,0.42,0.11,0.08,0.14,0.08,0.99,0.76,0.44,0.63,0.71
383,0.51,0.1,0.42,0.11,0.08,0.14,0.08,0.99,0.76,0.44,0.63,0.71
384,0.48,0.27,0.28,0.11,0.087,0.31,0.18,0.99,0.83,0.4,0.61,0.57
385,0.46,0.35,0.07,0.13,0.09,0.14,0.12,0.99,0.83,0.42,0.65,0.71
386,0.48,0.29,0.26,0.11,0.08800000000000001,0.31,0.16,0.99,0.82,0.4,0.61,0.71
387,0.51,0.37,0.15,0.1,0.079,0.23,0.14,0.99,0.79,0.27,0.64,0.71
388,0.48,0.23,0.26,0.1,0.08800000000000001,0.31,0.18,0.99,0.83,0.4,0.61,0.71
389,0.6,0.18,0.31,0.14,0.096,0.21,0.16,0.99,0.76,0.38,0.67,0.86
390,0.34,0.5,0.05,0.07,0.045,0.15,0.3,0.97,0.87,0.46,0.86,1.0
391,0.86,0.2,0.68,0.17,0.085,0.23,0.14,0.99,0.72,0.44,0.67,0.71
392,0.59,0.17,0.52,0.11,0.08199999999999999,0.07,0.08,0.99,0.76,0.25,0.63,0.57
393,0.52,0.37,0.61,0.11,0.11199999999999999,0.17,0.32,0.98,0.75,0.27,0.61,0.57
394,0.8,0.33,0.65,0.13,0.063,0.07,0.08,0.99,0.71,0.29,0.66,0.57
395,0.75,0.17,0.76,0.25,0.066,0.08,0.12,0.99,0.77,0.31,0.87,0.86
396,0.41,0.42,0.02,0.5,0.122,0.94,0.42,0.99,0.84,0.26,0.66,0.57
397,0.72,0.32,0.59,0.15,0.087,0.17,0.16,0.99,0.76,0.34,0.74,0.71
398,0.72,0.32,0.59,0.15,0.087,0.17,0.16,0.99,0.76,0.34,0.74,0.71
399,0.54,0.44,0.22,0.13,0.064,0.11,0.14,0.98,0.73,0.27,0.63,0.57
400,0.41,0.42,0.02,0.5,0.122,0.94,0.42,0.99,0.84,0.26,0.66,0.57
401,0.48,0.1,0.3,0.09,0.059000000000000004,0.27,0.12,0.98,0.79,0.22,0.72,0.71
402,0.76,0.25,0.54,0.15,0.085,0.25,0.21,0.99,0.73,0.31,0.7,0.71
403,0.71,0.33,0.49,0.15,0.085,0.13,0.13,0.99,0.75,0.33,0.7,0.71
404,0.48,0.39,0.05,0.15,0.075,0.2,0.08,0.99,0.78,0.31,0.61,0.57
405,0.54,0.13,0.46,0.07,0.059000000000000004,0.14,0.08,0.98,0.81,0.42,0.67,0.71
406,0.61,0.22,0.47,0.14,0.063,0.11,0.09,0.99,0.77,0.34,0.72,0.71
407,0.75,0.18,0.66,0.17,0.09300000000000001,0.15,0.09,0.99,0.76,0.33,0.72,0.86
408,0.65,0.15,0.58,0.22,0.174,0.07,0.05,0.98,0.76,0.38,0.76,0.71
409,0.78,0.23,0.49,0.27,0.07,0.35,0.16,0.99,0.72,0.29,0.64,0.42
410,0.56,0.21,0.34,0.14,0.08,0.35,0.29,0.99,0.81,0.32,0.63,0.71
411,0.57,0.23,0.35,0.13,0.08,0.31,0.26,0.99,0.81,0.32,0.63,0.57
412,0.44,0.42,0.16,0.1,0.1,0.2,0.26,0.98,0.78,0.34,0.62,0.57
413,0.62,0.19,0.53,0.42,0.09699999999999999,0.07,0.06,0.99,0.78,0.46,0.78,0.86
414,0.55,0.27,0.34,0.15,0.087,0.32,0.42,0.99,0.78,0.31,0.63,0.57
415,0.53,0.41,0.24,0.41,0.11699999999999999,0.42,0.46,0.99,0.8,0.63,0.62,0.57
416,0.66,0.25,0.64,0.12,0.111,0.07,0.06,0.98,0.78,0.35,0.78,0.71
417,0.43,0.32,0.12,0.1,0.091,0.46,0.42,0.98,0.83,0.23,0.7,0.57
418,0.74,0.18,0.51,0.11,0.121,0.08,0.06,0.99,0.77,0.42,0.69,0.71
419,0.42,0.45,0.0,0.09,0.066,0.46,0.17,0.99,0.89,0.36,0.66,0.57
420,0.59,0.3,0.33,0.13,0.08900000000000001,0.48,0.22,0.99,0.79,0.4,0.79,0.86
421,0.41,0.49,0.03,0.13,0.059000000000000004,0.44,0.16,0.98,0.86,0.28,0.82,0.86
422,0.48,0.58,0.2,0.11,0.047,0.2,0.2,0.98,0.81,0.2,0.73,0.57
423,0.66,0.08,0.47,0.11,0.066,0.07,0.07,0.99,0.75,0.51,0.74,0.86
424,0.48,0.58,0.2,0.11,0.047,0.2,0.2,0.98,0.81,0.2,0.73,0.57
425,0.41,0.49,0.03,0.13,0.059000000000000004,0.44,0.16,0.98,0.86,0.28,0.82,0.86
426,0.39,0.38,0.08,0.11,0.045,0.25,0.16,0.98,0.85,0.23,0.76,0.71
427,0.59,0.45,0.22,0.1,0.077,0.07,0.1,0.99,0.78,0.28,0.71,0.71
428,0.57,0.27,0.33,0.06,0.07,0.11,0.09,0.99,0.77,0.31,0.62,0.57
429,0.8,0.49,0.63,0.13,0.08800000000000001,0.17,0.11,0.99,0.73,0.31,0.69,0.71
430,0.66,0.08,0.47,0.11,0.066,0.07,0.07,0.99,0.75,0.51,0.74,0.86
431,0.48,0.29,0.35,0.12,0.07400000000000001,0.28,0.22,0.99,0.78,0.28,0.61,0.57
432,0.74,0.17,0.69,0.13,0.078,0.15,0.07,0.98,0.7,0.34,0.86,0.71
433,0.77,0.18,0.63,0.13,0.091,0.07,0.05,0.99,0.75,0.23,0.63,0.57
434,0.65,0.2,0.55,0.19,0.076,0.3,0.18,0.99,0.75,0.5,0.66,0.71
435,0.77,0.18,0.63,0.13,0.091,0.07,0.05,0.99,0.75,0.23,0.63,0.57
436,0.5,0.38,0.3,0.11,0.06,0.52,0.21,0.98,0.78,0.28,0.68,0.71
437,0.69,0.23,0.73,0.19,0.066,0.07,0.07,0.99,0.75,0.35,0.75,0.71
438,0.65,0.2,0.55,0.19,0.076,0.3,0.18,0.99,0.75,0.5,0.66,0.71
439,0.43,0.34,0.18,0.07,0.062,0.08,0.16,0.98,0.73,0.31,0.62,0.57
440,0.79,0.13,0.72,0.12,0.07200000000000001,0.07,0.09,0.99,0.67,0.46,0.65,1.0
441,0.74,0.19,0.65,0.12,0.068,0.08,0.08,0.99,0.72,0.36,0.76,0.71
442,0.98,0.39,0.76,0.22,0.1,0.07,0.14,1.0,0.69,0.36,0.75,0.86
443,0.62,0.22,0.49,0.15,0.077,0.14,0.06,0.98,0.77,0.33,0.78,0.86
444,0.32,0.31,0.01,0.09,0.054000000000000006,0.06,0.08,0.98,0.87,0.47,0.84,0.86
445,0.59,0.42,0.1,0.11,0.079,0.07,0.1,0.99,0.77,0.28,0.67,0.71
446,0.78,0.18,0.6,0.15,0.081,0.42,0.24,0.99,0.73,0.4,0.7,0.57
447,0.58,0.25,0.29,0.11,0.127,0.07,0.05,0.98,0.77,0.39,0.75,0.57
448,0.53,0.28,0.22,0.11,0.1,0.08,0.08,0.98,0.76,0.28,0.68,0.71
449,0.74,0.18,0.69,0.16,0.095,0.23,0.11,0.99,0.73,0.31,0.72,0.71
450,0.74,0.18,0.69,0.16,0.095,0.23,0.11,0.99,0.73,0.31,0.72,0.71
451,0.52,0.17,0.53,0.09,0.413,0.11,0.08,0.99,0.72,0.62,0.61,0.71
452,0.42,0.3,0.03,0.09,0.084,0.24,0.11,0.98,0.83,0.33,0.67,0.71
453,0.65,0.14,0.63,0.16,0.084,0.06,0.07,0.99,0.78,0.4,0.75,0.86
454,0.43,0.08,0.4,0.08,0.063,0.28,0.22,0.98,0.85,0.33,0.74,0.57
455,0.71,0.34,0.67,0.32,0.086,0.07,0.06,0.99,0.77,0.37,0.9,1.0
456,0.55,0.32,0.39,0.13,0.095,0.06,0.07,0.99,0.81,0.29,0.69,0.57
457,0.57,0.35,0.21,0.15,0.09699999999999999,0.39,0.22,0.99,0.79,0.29,0.64,0.57
458,0.65,0.14,0.63,0.16,0.084,0.06,0.07,0.99,0.78,0.4,0.75,0.86
459,0.73,0.32,0.66,0.12,0.07400000000000001,0.13,0.15,0.99,0.78,0.29,0.6,0.28
460,0.57,0.21,0.52,0.13,0.083,0.18,0.07,0.99,0.81,0.31,0.76,0.71
461,0.51,0.34,0.22,0.15,0.087,0.07,0.06,0.99,0.78,0.31,0.62,0.57
462,0.69,0.1,0.68,0.14,0.085,0.13,0.08,0.98,0.76,0.31,0.79,0.57
463,0.5,0.37,0.7,0.12,0.098,0.34,0.44,0.99,0.73,0.26,0.6,0.57
464,0.72,0.13,0.54,0.11,0.084,0.06,0.04,0.99,0.7,0.38,0.61,0.71
465,0.62,0.12,0.4,0.17,0.098,0.13,0.08,0.99,0.84,0.52,0.65,0.57
466,0.64,0.26,0.42,0.11,0.069,0.28,0.17,0.99,0.75,0.39,0.77,0.71
467,0.55,0.23,0.45,0.15,0.065,0.08,0.05,0.98,0.8,0.44,0.94,0.71
468,0.71,0.16,0.69,0.11,0.09,0.07,0.06,0.99,0.75,0.32,0.61,0.71
469,0.54,0.48,0.02,0.05,0.07,0.49,0.16,0.98,0.76,0.29,0.65,0.57
470,0.81,0.14,0.65,0.15,0.09300000000000001,0.2,0.15,0.99,0.72,0.31,0.71,0.57
471,0.6,0.29,0.42,0.13,0.081,0.34,0.17,0.98,0.76,0.38,0.76,0.71
472,0.78,0.17,0.55,0.15,0.083,0.34,0.23,0.99,0.75,0.46,0.69,0.71
473,0.62,0.16,0.55,0.11,0.062,0.06,0.04,0.98,0.78,0.44,0.71,0.57
474,0.66,0.11,0.51,0.09,0.08,0.13,0.07,0.99,0.76,0.5,0.63,0.71
475,0.6,0.38,0.24,0.12,0.087,0.06,0.09,0.99,0.74,0.31,0.68,0.57
476,0.58,0.1,0.41,0.11,0.091,0.07,0.05,0.99,0.79,0.38,0.65,0.57
477,0.65,0.08,0.49,0.09,0.075,0.07,0.06,0.99,0.76,0.62,0.74,0.71
478,0.6,0.38,0.24,0.12,0.087,0.06,0.09,0.99,0.74,0.31,0.68,0.57
479,0.58,0.39,0.11,0.15,0.077,0.07,0.1,0.99,0.76,0.38,0.67,0.71
480,0.66,0.11,0.39,1.0,0.069,0.07,0.07,1.0,0.74,0.35,0.61,0.57
481,0.58,0.12,0.56,0.16,0.08,0.07,0.05,0.98,0.75,0.53,0.78,1.0
482,0.66,0.16,0.59,0.12,0.152,0.07,0.05,0.99,0.72,0.61,0.63,0.57
483,0.66,0.16,0.6,0.12,0.152,0.08,0.05,0.99,0.72,0.62,0.63,0.57
484,0.66,0.22,0.68,0.25,0.114,0.07,0.07,0.98,0.72,0.35,0.9,0.71
485,0.64,0.38,0.39,0.1,0.054000000000000006,0.07,0.05,0.99,0.75,0.22,0.67,0.57
486,0.64,0.38,0.39,0.1,0.054000000000000006,0.07,0.05,0.99,0.75,0.22,0.67,0.57
487,0.64,0.36,0.36,0.09,0.053,0.06,0.04,0.99,0.75,0.19,0.67,0.71
488,0.73,0.14,0.55,0.16,0.081,0.48,0.22,0.99,0.8,0.53,0.72,0.86
489,0.58,0.18,0.4,0.15,0.073,0.13,0.08,0.99,0.8,0.41,0.68,0.71
490,0.58,0.45,0.27,0.16,0.078,0.32,0.19,0.99,0.79,0.36,0.71,0.71
491,0.57,0.2,0.5,0.14,0.055,0.15,0.08,0.98,0.8,0.44,0.89,0.86
492,0.55,0.19,0.51,0.15,0.052000000000000005,0.17,0.08,0.98,0.8,0.51,0.9,0.86
493,0.54,0.39,0.31,0.17,0.086,0.31,0.27,0.99,0.84,0.4,0.78,0.71
494,0.4,0.18,0.23,0.53,0.051,0.38,0.31,0.98,0.83,0.27,0.81,0.71
495,0.67,0.16,0.53,0.15,0.07,0.06,0.05,0.99,0.75,0.34,0.74,1.0
496,0.48,0.27,0.25,0.1,0.081,0.18,0.12,0.99,0.83,0.34,0.6,0.71
497,0.44,0.15,0.32,0.14,0.09,0.59,0.38,0.98,0.8,0.44,0.74,0.57
498,0.67,0.16,0.53,0.15,0.07,0.06,0.05,0.99,0.75,0.34,0.74,1.0
499,0.54,0.39,0.31,0.17,0.086,0.31,0.27,0.99,0.84,0.4,0.78,0.71
500,0.48,0.27,0.25,0.1,0.081,0.18,0.12,0.99,0.83,0.34,0.6,0.71
501,0.65,0.22,0.73,0.41,0.07400000000000001,0.52,0.26,0.99,0.75,0.48,0.8,0.86
502,0.65,0.22,0.73,0.41,0.07400000000000001,0.52,0.26,0.99,0.75,0.48,0.8,0.86
503,0.66,0.1,0.47,0.1,0.078,0.07,0.07,0.99,0.76,0.61,0.73,0.86
504,0.66,0.08,0.42,0.09,0.077,0.07,0.07,0.99,0.76,0.61,0.72,0.86
505,0.64,0.25,0.63,0.17,0.07200000000000001,0.13,0.08,0.98,0.75,0.43,0.84,0.86
506,0.65,0.08,0.46,0.09,0.075,0.07,0.06,0.99,0.78,0.59,0.72,0.86
507,0.7,0.38,0.55,0.13,0.084,0.07,0.04,0.99,0.75,0.38,0.63,0.71
508,0.62,0.32,0.31,0.12,0.09,0.35,0.21,0.99,0.76,0.33,0.68,0.71
509,0.83,0.12,0.75,0.16,0.084,0.31,0.14,0.99,0.72,0.36,0.76,0.86
510,0.78,0.21,0.49,0.28,0.073,0.25,0.14,0.99,0.71,0.31,0.63,0.57
511,0.62,0.32,0.31,0.12,0.09,0.35,0.21,0.99,0.76,0.33,0.68,0.71
512,0.67,0.19,0.48,0.11,0.125,0.2,0.16,0.99,0.71,0.45,0.65,0.71
513,0.66,0.27,0.64,0.13,0.107,0.07,0.04,0.99,0.73,0.35,0.79,0.86
514,0.66,0.27,0.64,0.13,0.107,0.07,0.04,0.99,0.73,0.35,0.79,0.86
515,0.53,0.37,0.49,0.38,0.122,0.46,0.52,0.99,0.79,0.67,0.62,0.57
516,0.78,0.33,0.49,0.26,0.1,0.06,0.04,0.99,0.78,0.4,0.8,0.71
517,0.65,0.34,0.49,0.11,0.2,0.06,0.05,0.99,0.75,0.33,0.56,0.28
518,0.68,0.06,0.49,0.16,0.08800000000000001,0.14,0.1,0.99,0.77,0.36,0.78,0.71
519,0.45,0.17,0.49,0.14,0.08800000000000001,0.54,0.36,0.98,0.81,0.43,0.74,0.57
520,0.61,0.09,0.49,0.15,0.08800000000000001,0.2,0.11,0.99,0.83,0.51,0.67,0.71
521,0.47,0.2,0.49,0.11,0.08800000000000001,0.21,0.14,0.99,0.84,0.34,0.61,0.57
522,0.51,0.18,0.49,0.13,0.099,0.65,0.45,0.99,0.81,0.57,0.65,0.57
523,0.58,0.19,0.49,0.14,0.085,0.52,0.49,0.99,0.77,0.27,0.63,0.57
524,0.57,0.21,0.49,0.13,0.086,0.31,0.4,0.99,0.77,0.34,0.63,0.57
525,0.65,0.36,0.24,0.16,0.105,0.39,0.18,0.99,0.77,0.36,0.66,0.57
526,0.45,0.17,0.49,0.14,0.08800000000000001,0.54,0.36,0.98,0.81,0.43,0.74,0.57
527,0.43,0.18,0.49,0.14,0.09699999999999999,0.45,0.29,0.98,0.82,0.42,0.76,0.71
528,0.51,0.21,0.49,0.15,0.084,0.44,0.18,0.99,0.8,0.41,0.58,0.71
529,0.62,0.35,0.24,0.13,0.077,0.07,0.11,0.99,0.73,0.29,0.63,0.57
530,0.57,0.07,0.24,0.11,0.078,0.0,0.09,0.99,0.82,0.49,0.69,0.71
531,0.74,0.18,0.49,0.15,0.098,0.17,0.14,0.99,0.75,0.31,0.69,0.57
532,0.74,0.18,0.49,0.15,0.098,0.17,0.14,0.99,0.75,0.31,0.69,0.57
533,0.64,0.1,0.24,0.11,0.07200000000000001,0.21,0.11,0.98,0.77,0.35,0.86,0.71
534,0.62,0.25,0.24,0.15,0.102,0.18,0.1,0.99,0.79,0.28,0.67,0.71
535,0.57,0.07,0.24,0.11,0.078,0.01,0.09,0.99,0.82,0.49,0.69,0.71
536,0.62,0.35,0.24,0.13,0.077,0.08,0.11,0.99,0.73,0.29,0.63,0.57
537,0.5,0.48,0.24,0.11,0.084,0.07,0.04,0.99,0.81,0.42,0.72,0.71
538,0.81,0.16,0.49,0.36,0.066,0.07,0.11,0.99,0.76,0.35,0.8,0.86
539,0.7,0.26,0.74,0.32,0.1,0.07,0.05,0.99,0.77,0.32,0.75,0.57
540,0.57,0.32,0.24,0.19,0.10099999999999999,0.28,0.15,0.99,0.78,0.36,0.64,0.57
541,0.59,0.23,0.49,0.39,0.064,0.07,0.05,0.99,0.76,0.4,0.74,0.71
